

Ente;Liste/Gruppi;Voti;
CELLOLE;EUROPA VERDE;29;;
CELLOLE;LA SINISTRA;23;;
CELLOLE;PARTITO ANIMALISTA;17;;
CELLOLE;PARTITO COMUNISTA;8;;
CELLOLE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
CELLOLE;CASAPOUND ITALIA - DESTRE UNITE;3;;
CELLOLE;PARTITO PIRATA;3;;
CELLOLE;FORZA NUOVA;1;;
CELLOLE;POPOLARI PER L'ITALIA;0;;
CERVINO;MOVIMENTO 5 STELLE;1032;;
CERVINO;FORZA ITALIA;623;;
CERVINO;LEGA SALVINI PREMIER;491;;
CERVINO;FRATELLI D'ITALIA;341;;
CERVINO;PARTITO DEMOCRATICO;292;;
CERVINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;73;;
CERVINO;PARTITO COMUNISTA;35;;
CERVINO;EUROPA VERDE;28;;
CERVINO;LA SINISTRA;21;;
CERVINO;PARTITO ANIMALISTA;19;;
CERVINO;FORZA NUOVA;10;;
CERVINO;POPOLARI PER L'ITALIA;6;;
CERVINO;CASAPOUND ITALIA - DESTRE UNITE;4;;
CERVINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
CERVINO;PARTITO PIRATA;2;;
CESA;MOVIMENTO 5 STELLE;1128;;
CESA;PARTITO DEMOCRATICO;467;;
CESA;LEGA SALVINI PREMIER;400;;
CESA;FORZA ITALIA;355;;
CESA;FRATELLI D'ITALIA;108;;
CESA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;72;;
CESA;LA SINISTRA;18;;
CESA;EUROPA VERDE;15;;
CESA;POPOLARI PER L'ITALIA;10;;
CESA;PARTITO COMUNISTA;10;;
CESA;PARTITO ANIMALISTA;5;;
CESA;PARTITO PIRATA;5;;
CESA;FORZA NUOVA;2;;
CESA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CESA;CASAPOUND ITALIA - DESTRE UNITE;0;;
CIORLANO;FORZA ITALIA;93;;
CIORLANO;LEGA SALVINI PREMIER;58;;
CIORLANO;MOVIMENTO 5 STELLE;32;;
CIORLANO;PARTITO DEMOCRATICO;21;;
CIORLANO;FRATELLI D'ITALIA;19;;
CIORLANO;LA SINISTRA;6;;
CIORLANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;5;;
CIORLANO;FORZA NUOVA;4;;
CIORLANO;EUROPA VERDE;2;;
CIORLANO;PARTITO COMUNISTA;1;;
