

Ente;Liste/Gruppi;Voti;
CONTRADA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;62;;
CONTRADA;FRATELLI D'ITALIA;54;;
CONTRADA;LA SINISTRA;28;;
CONTRADA;EUROPA VERDE;26;;
CONTRADA;PARTITO COMUNISTA;22;;
CONTRADA;PARTITO ANIMALISTA;18;;
CONTRADA;CASAPOUND ITALIA - DESTRE UNITE;13;;
CONTRADA;FORZA NUOVA;5;;
CONTRADA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
CONTRADA;POPOLARI PER L'ITALIA;4;;
CONTRADA;PARTITO PIRATA;3;;
CONZA DELLA CAMPANIA;PARTITO DEMOCRATICO;209;;
CONZA DELLA CAMPANIA;MOVIMENTO 5 STELLE;153;;
CONZA DELLA CAMPANIA;LEGA SALVINI PREMIER;109;;
CONZA DELLA CAMPANIA;FRATELLI D'ITALIA;39;;
CONZA DELLA CAMPANIA;FORZA ITALIA;28;;
CONZA DELLA CAMPANIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;15;;
CONZA DELLA CAMPANIA;LA SINISTRA;12;;
CONZA DELLA CAMPANIA;PARTITO ANIMALISTA;4;;
CONZA DELLA CAMPANIA;PARTITO COMUNISTA;1;;
CONZA DELLA CAMPANIA;POPOLARI PER L'ITALIA;1;;
CONZA DELLA CAMPANIA;EUROPA VERDE;1;;
CONZA DELLA CAMPANIA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CONZA DELLA CAMPANIA;PARTITO PIRATA;1;;
CONZA DELLA CAMPANIA;CASAPOUND ITALIA - DESTRE UNITE;0;;
CONZA DELLA CAMPANIA;FORZA NUOVA;0;;
DOMICELLA;MOVIMENTO 5 STELLE;237;;
DOMICELLA;FORZA ITALIA;144;;
DOMICELLA;PARTITO DEMOCRATICO;128;;
DOMICELLA;LEGA SALVINI PREMIER;111;;
DOMICELLA;FRATELLI D'ITALIA;55;;
DOMICELLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;19;;
DOMICELLA;LA SINISTRA;16;;
DOMICELLA;EUROPA VERDE;9;;
DOMICELLA;PARTITO COMUNISTA;8;;
DOMICELLA;PARTITO ANIMALISTA;6;;
DOMICELLA;POPOLARI PER L'ITALIA;3;;
DOMICELLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
DOMICELLA;FORZA NUOVA;1;;
DOMICELLA;CASAPOUND ITALIA - DESTRE UNITE;0;;
DOMICELLA;PARTITO PIRATA;0;;
FLUMERI;MOVIMENTO 5 STELLE;392;;
FLUMERI;PARTITO DEMOCRATICO;228;;
FLUMERI;LEGA SALVINI PREMIER;204;;
FLUMERI;FORZA ITALIA;122;;
FLUMERI;FRATELLI D'ITALIA;33;;
FLUMERI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17;;
FLUMERI;LA SINISTRA;10;;
FLUMERI;EUROPA VERDE;10;;
FLUMERI;PARTITO COMUNISTA;7;;
